,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3607,CHEMBL3342774,8000.0,nM,O=C(O)[C@H]1CC[C@@H](OC2CCN(c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)CC2)CC1,5.096910013008056,488.2035253840001,5,2,5.272500000000005,True
3608,CHEMBL4574192,8000.0,nM,COc1ccc(CN2CCCn3c2nc2c3c(=O)n(C)c(=O)n2C)cc1Cl,5.096910013008056,389.12546718,8,0,1.506,True
3609,CHEMBL91,8002.0,nM,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.096801452957022,413.98602378799995,3,0,6.454800000000002,True
3610,CHEMBL4291428,8040.0,nM,Cc1nc(Nc2ccccc2)sc1C(=O)c1cnc(N)n1-c1ccc(F)cc1,5.094743951251549,393.105959352,7,2,4.333120000000002,True
3611,CHEMBL2181977,8050.0,nM,Cc1ccc(-c2nc(NC(=O)Nc3ccc(F)cc3)c3nnn(Cc4ccccc4F)c3n2)cc1,5.094204119632131,471.1619146680001,6,2,5.167220000000003,True
3612,CHEMBL3828648,8110.0,nM,Fc1cccc(F)c1Nc1nc2c(Cl)ncnc2s1,5.090979145788844,297.98915128,5,1,3.7615000000000007,True
3613,CHEMBL456257,8170.0,nM,CN(CCc1cccs1)c1nc(-c2ccco2)c(C(=O)c2ccccc2)s1,5.087777943467584,394.08096981599994,6,0,5.374500000000004,True
3614,CHEMBL3314907,8180.0,nM,CCOC(=O)c1cnc(N2CCCCC2)n2nc(-c3ccco3)nc12,5.087246696328677,341.148789468,8,0,2.5513000000000003,True
3615,CHEMBL808,8206.0,nM,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.0858684873691065,380.02499614,3,0,5.801400000000003,True
3616,CHEMBL4533073,8270.0,nM,Cn1c(=O)c2c(nc3n2CCCN3Cc2ccc(F)c(Br)c2)n(C)c1=O,5.082494490447454,421.0549651040001,7,0,1.7455999999999996,True
3617,CHEMBL373578,8270.0,nM,CONc1nc(C#Cc2cccc(C(F)(F)F)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.082494490447454,465.12600333599994,10,4,0.8296999999999992,True
3618,CHEMBL1091641,8320.0,nM,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccc(Cl)cc4)nc23)n1,5.079876673709276,417.11048581200004,7,1,3.5126000000000017,True
3619,CHEMBL3088345,8390.0,nM,CCN1CCN(c2ncnc3sc(Nc4ccccc4)nc23)CC1,5.076238039171299,340.14701564,7,1,2.971800000000001,True
